 Radioactive Decay Experiment Fri, Feb 2, 2024 9:27 AM
Sample Number	Number of Counts
1	12
2	12
3	14
4	7
5	6
6	8
7	11
8	11
9	6
10	16
11	15
12	9
13	11
14	9
15	14
16	13
17	15
18	9
19	12
20	10
21	9
22	7
23	6
24	13
25	14
26	9
27	12
28	8
29	9
30	10
31	7
32	16
33	10
34	16
35	9
36	12
37	10
38	8
39	11
40	14
41	8
42	15
43	9
44	6
45	17
46	10
47	9
48	7
49	9
50	17
51	17
52	8
53	4
54	13
55	15
56	13
57	16
58	15
59	3
60	6
61	9
62	9
63	14
64	13
65	10
66	6
67	11
68	7
69	13
70	9
71	15
72	13
73	13
74	15
75	12
