 Radioactive Decay Experiment Fri, Feb 2, 2024 9:01 AM
Sample Number	Number of Counts
1	0
2	2
3	3
4	2
5	2
6	4
7	7
8	5
9	1
10	2
11	2
12	3
13	2
14	5
15	1
16	2
17	2
18	4
19	1
20	3
21	2
22	2
23	5
24	3
25	3
26	3
27	4
28	5
29	0
30	3
31	5
32	3
33	3
34	4
35	5
36	4
37	2
38	1
39	1
40	2
41	2
42	3
43	1
44	2
45	0
46	3
47	1
48	2
49	4
50	1
51	3
52	3
53	4
54	0
55	2
56	2
57	3
58	5
59	1
60	4
61	2
62	7
63	3
64	1
65	0
66	0
67	3
68	0
69	5
70	4
71	2
72	4
73	3
74	0
75	1
76	0
77	3
78	5
79	4
80	5
81	1
82	6
83	4
84	1
85	4
86	3
87	3
88	3
89	3
90	2
91	2
92	2
93	3
94	4
95	4
96	3
97	4
98	5
99	1
100	3
101	4
102	5
103	2
104	1
105	2
106	3
107	1
108	1
109	2
110	0
111	2
112	3
113	2
114	4
115	0
116	1
117	2
118	0
119	3
120	3
121	1
122	1
123	2
124	2
125	3
126	3
127	3
128	2
129	3
130	7
131	1
132	3
133	4
134	0
135	1
136	3
137	4
138	2
139	0
140	2
141	2
142	1
143	2
144	1
145	1
146	0
147	4
148	2
149	4
150	2
151	3
152	0
153	2
154	2
155	1
156	2
157	1
158	1
159	2
160	2
161	2
162	3
163	4
164	3
165	2
166	2
167	0
168	4
169	1
170	1
171	2
172	2
173	2
174	2
175	5
176	0
177	1
178	1
179	1
180	2
181	2
182	2
183	1
184	2
185	1
186	1
187	3
188	4
189	3
190	3
191	2
192	6
193	2
194	5
195	2
196	5
197	2
198	2
199	2
200	0
201	3
202	2
203	3
204	2
205	2
206	4
207	3
208	5
209	0
210	2
211	4
212	3
213	4
214	3
215	0
216	4
217	2
218	2
219	5
220	3
221	2
222	0
223	0
224	4
225	2
226	2
227	2
228	2
229	3
230	4
231	2
232	4
233	6
234	4
235	0
236	4
237	5
238	3
239	3
240	2
241	1
242	1
243	3
244	4
245	4
246	4
247	3
248	3
249	2
250	3
251	3
252	2
253	2
254	2
255	2
256	2
257	4
258	4
259	3
260	3
261	4
262	1
263	0
264	3
265	2
266	0
267	3
268	0
269	1
270	3
271	4
272	3
273	4
274	4
275	2
276	3
277	4
278	3
279	2
280	4
281	1
282	7
283	4
284	1
285	3
286	1
287	4
288	3
289	1
290	4
291	6
292	2
293	2
294	0
295	1
296	4
297	3
298	3
299	6
300	1
301	4
302	1
303	3
304	3
305	5
306	3
307	1
308	2
309	1
310	1
311	4
312	3
313	5
314	1
315	6
316	3
317	2
318	1
319	3
320	3
321	4
322	3
323	4
324	2
325	4
326	1
327	2
328	1
329	4
330	0
331	2
332	4
333	1
334	3
335	1
336	3
337	3
338	4
339	6
340	2
341	2
342	1
343	2
344	4
345	3
346	0
347	2
348	3
349	3
350	1
351	2
352	0
353	5
354	1
355	2
356	3
357	3
358	1
359	1
360	3
361	4
362	2
