 Radioactive Decay Experiment Fri, Feb 2, 2024 1:33 PM
Sample Number	Number of Counts
1	88
2	113
3	108
4	124
5	121
6	104
7	104
8	111
9	119
10	111
11	116
12	106
13	108
14	110
15	111
16	124
17	103
18	107
19	109
20	98
21	105
22	107
23	122
24	93
25	91
26	84
27	119
28	109
29	98
30	101
31	107
32	105
33	92
34	84
35	98
36	92
37	129
38	102
39	99
40	84
41	91
42	94
43	96
44	84
45	101
46	93
47	93
48	104
49	91
50	75
51	95
52	105
53	104
54	86
55	92
56	91
57	90
58	85
59	84
60	85
61	83
62	105
63	87
64	94
65	98
66	84
67	69
68	74
69	90
70	92
71	66
72	81
73	81
74	83
75	71
76	78
77	86
78	63
79	70
80	78
81	102
82	74
83	69
84	76
85	79
86	81
87	84
88	69
89	61
90	62
91	62
92	69
93	81
94	72
95	62
96	72
97	73
98	76
99	64
100	65
101	68
102	65
103	72
104	67
105	57
106	68
107	79
108	72
109	60
110	52
111	59
112	61
113	62
114	62
115	75
116	70
117	50
118	56
119	64
120	70
121	62
122	60
123	63
124	51
125	63
126	61
127	67
128	50
129	58
130	54
131	68
132	57
133	57
134	65
135	71
136	58
137	57
138	49
139	53
140	57
141	53
142	51
143	69
144	59
145	45
146	58
147	55
148	59
149	42
150	55
151	58
152	46
153	50
154	42
155	56
156	49
157	56
158	62
159	53
160	48
161	55
162	53
163	46
164	43
165	38
166	49
167	56
168	49
169	48
170	55
171	45
172	53
173	39
174	36
175	56
176	53
177	32
178	42
179	49
180	41
181	43
182	39
183	38
184	35
185	47
186	36
187	34
188	44
189	52
190	42
191	39
192	28
193	48
194	40
195	36
196	46
197	34
198	42
199	40
200	39
201	39
202	50
203	33
204	36
205	32
206	30
207	37
208	48
209	44
210	30
211	48
212	40
213	38
214	29
215	37
216	45
217	35
218	34
219	55
220	45
221	33
222	47
223	39
224	27
225	41
226	40
227	30
228	30
229	38
230	40
231	31
232	45
233	44
234	26
235	37
236	38
237	31
238	31
239	38
240	25
241	29
242	35
243	32
244	37
245	34
246	38
247	28
248	37
249	36
250	23
251	26
252	26
253	29
254	33
255	41
256	29
257	32
258	19
259	34
260	44
261	42
262	23
263	23
264	30
265	32
266	27
267	28
268	21
269	24
270	36
271	28
272	26
273	23
274	31
275	24
276	26
277	23
278	22
279	24
280	33
281	25
282	31
283	29
284	27
285	26
286	22
287	32
288	28
289	20
290	25
291	36
292	33
293	27
294	35
295	29
296	26
297	26
298	21
299	25
300	25
301	23
302	26
303	22
304	17
305	18
306	25
307	34
308	26
309	19
310	21
311	20
312	23
313	25
314	22
315	21
316	25
317	25
318	18
319	20
320	26
321	20
322	25
323	27
324	32
325	19
326	24
327	29
328	21
329	31
330	19
331	24
332	19
333	20
334	26
335	15
336	27
337	20
338	29
339	18
340	19
341	21
342	20
343	24
344	21
345	20
346	25
347	24
348	21
349	25
350	17
351	21
352	20
353	20
354	13
355	20
356	23
357	26
358	20
359	14
360	17
361	14
362	27
363	22
364	19
365	17
366	17
367	20
368	26
369	15
370	19
371	16
372	18
373	12
374	13
375	29
376	25
377	19
378	19
379	20
380	16
381	17
382	12
383	19
384	32
385	17
386	17
387	22
388	12
389	23
390	12
391	18
392	19
393	13
394	15
395	22
396	21
397	19
398	17
399	9
400	19
401	14
402	12
403	14
404	14
405	21
406	18
407	14
408	28
409	14
410	17
411	17
412	15
413	18
414	17
415	19
416	17
417	16
418	17
419	14
420	20
421	14
422	15
423	19
424	15
425	18
426	13
427	16
428	13
429	15
430	18
431	15
432	20
433	20
434	12
435	19
436	15
437	15
438	17
439	18
440	11
441	13
442	19
443	15
444	23
445	16
446	19
447	14
448	15
449	19
450	15
451	16
452	16
453	14
454	18
455	11
456	19
457	12
458	11
459	13
460	10
461	15
462	9
463	12
464	12
465	22
466	21
467	9
468	11
469	22
470	15
471	15
472	13
473	16
474	17
475	13
476	14
477	15
478	13
479	14
480	14
481	13
482	17
483	13
484	16
485	16
486	20
487	16
488	19
489	10
490	10
491	17
492	9
493	9
494	17
495	16
496	10
497	12
498	8
499	12
500	17
501	11
502	17
503	10
504	11
505	14
506	16
507	12
508	19
509	13
510	14
511	11
512	17
513	11
514	9
515	8
516	11
517	17
518	17
519	9
520	17
521	11
522	17
523	12
524	11
525	20
526	9
527	13
528	12
529	17
530	18
531	15
532	12
533	14
534	15
535	11
536	19
537	18
538	17
539	10
540	14
541	15
542	17
543	18
544	12
545	17
546	10
547	13
548	11
549	11
550	14
551	9
552	11
553	21
554	9
555	13
556	17
557	12
558	10
559	12
560	15
561	18
562	18
563	13
564	11
565	11
566	9
567	15
568	14
569	12
570	18
571	16
572	18
573	17
574	17
575	19
576	7
577	7
578	11
579	16
580	13
581	14
582	9
583	11
584	9
585	16
586	6
587	15
588	9
589	9
590	7
591	8
592	15
593	15
594	9
595	25
596	13
597	5
598	9
599	9
600	16
601	20
602	14
603	17
604	12
605	17
606	11
607	15
608	14
609	12
610	8
611	9
612	14
613	9
614	5
615	15
616	8
617	5
618	9
619	14
620	17
621	10
622	13
623	11
624	17
625	15
626	17
627	9
628	15
629	15
630	9
631	13
632	7
633	10
634	8
635	12
636	3
637	15
638	13
639	10
640	14
641	13
642	12
643	12
644	7
645	12
646	14
647	10
648	14
649	17
650	14
651	15
652	14
653	19
654	14
655	10
656	11
657	13
658	17
659	9
660	9
661	10
662	14
663	8
664	16
665	7
666	11
667	13
668	13
669	20
670	16
671	13
672	14
673	7
674	12
675	10
676	12
677	12
678	11
679	12
680	12
681	10
682	7
683	25
684	12
685	7
686	16
687	7
688	12
689	12
690	12
691	15
692	19
693	15
694	14
695	11
696	12
697	14
698	12
699	16
700	17
701	7
702	12
703	8
704	10
705	12
706	11
707	13
708	9
709	10
710	7
711	7
712	14
713	7
714	17
715	18
716	9
717	14
718	12
719	8
720	13
