 Radioactive Decay Experiment Tue, Jan 30, 2024 10:01 AM
Sample Number	Number of Counts
1	10
2	4
3	10
4	11
5	12
6	9
7	13
8	10
9	10
10	5
11	10
12	15
13	10
14	10
15	8
16	15
17	12
18	17
19	13
20	11
21	9
22	14
23	15
24	9
25	10
26	8
27	12
28	11
29	17
30	17
31	8
32	19
33	7
34	7
35	11
36	12
37	9
38	5
39	6
40	12
41	11
42	16
43	4
44	11
45	6
46	22
47	12
48	12
49	12
50	11
51	11
52	14
53	13
54	12
55	21
56	7
57	9
58	4
59	18
60	5
61	6
62	3
63	3
64	3
65	2
66	3
67	2
68	3
69	1
70	3
71	0
72	1
73	0
74	5
75	5
76	0
77	1
78	6
79	3
80	2
81	3
82	3
83	0
84	1
85	2
86	0
87	5
88	8
89	1
90	5
