 Radioactive Decay Experiment Thu, Feb 1, 2024 9:35 AM
Sample Number	Number of Counts
1	11
2	17
3	8
4	8
5	19
6	9
7	10
8	15
9	6
10	13
11	15
12	7
13	13
14	14
15	12
16	9
17	12
18	15
19	13
20	6
21	14
22	12
23	9
24	17
25	9
26	14
27	7
28	13
29	14
30	9
31	5
32	11
33	8
34	16
35	7
36	12
37	8
38	11
39	8
40	8
41	9
42	14
43	19
44	8
45	11
46	13
47	9
48	11
49	14
50	11
51	16
52	6
53	22
54	14
55	9
56	6
57	8
58	7
59	9
60	12
61	11
62	10
63	6
64	13
65	11
66	12
67	9
68	9
69	5
70	10
71	10
72	9
73	9
74	8
75	12
76	9
77	11
78	6
79	11
80	11
81	7
82	16
83	10
84	12
85	10
86	13
87	8
88	9
89	10
90	10
91	12
92	8
93	13
94	10
95	12
96	9
97	10
98	17
99	6
100	13
101	7
102	16
103	10
104	8
105	11
106	12
107	16
108	9
109	8
110	10
111	11
112	12
113	14
114	11
115	6
116	6
117	16
118	9
119	14
120	10
121	10
122	11
123	10
124	12
125	18
126	18
127	14
128	13
129	11
130	15
131	13
132	14
133	9
134	12
135	9
136	9
137	10
138	9
139	15
140	22
141	16
142	12
143	12
144	10
145	9
146	6
147	11
148	13
149	12
150	13
151	9
152	13
153	20
154	14
155	10
156	19
157	12
158	13
159	14
160	16
161	7
162	10
163	15
164	10
165	8
