 Radioactive Decay Experiment Thu, Jan 25, 2024 11:55 AM
Sample Number	Number of Counts
1	11
2	18
3	18
4	16
5	14
6	19
7	17
8	29
9	23
10	14
11	18
12	16
13	19
14	23
15	24
16	10
17	15
18	18
19	15
20	12
21	13
22	12
23	11
24	11
25	14
26	6
27	12
28	8
29	5
30	11
31	14
32	15
33	11
34	11
35	7
36	12
37	15
38	5
39	7
40	9
41	17
42	5
43	7
44	8
45	11
46	7
47	6
48	13
49	10
50	9
51	5
52	3
53	7
54	10
55	7
56	5
57	10
58	5
59	5
60	4
61	1
62	8
63	5
64	5
65	7
66	7
67	5
68	8
69	4
70	6
71	8
72	4
73	2
74	3
75	7
76	4
77	6
78	4
79	3
80	5
81	2
82	1
83	7
84	7
85	4
86	8
87	7
88	10
89	8
90	12
91	10
92	9
93	19
94	9
95	14
96	9
97	10
98	8
99	9
100	16
101	11
102	9
103	3
104	5
105	7
106	17
107	16
108	3
109	5
110	7
111	8
112	11
113	12
114	11
115	19
116	15
117	13
118	14
119	12
120	13
121	9
122	9
123	14
124	14
125	6
126	5
127	13
128	9
129	13
130	13
131	2
132	11
133	11
134	7
135	7
136	14
137	8
138	17
139	9
140	14
141	9
142	8
143	13
144	14
145	12
146	11
147	16
148	12
149	10
150	10
151	11
152	12
153	11
154	5
155	9
156	10
157	10
158	10
159	14
160	8
161	8
162	7
163	15
164	10
165	10
166	10
167	10
168	15
169	15
170	14
171	10
172	12
173	10
174	14
175	9
176	8
177	8
178	14
179	5
180	7
181	10
182	11
183	9
184	12
185	5
186	8
187	14
188	12
189	7
190	7
191	10
192	12
193	9
194	9
195	12
196	13
197	5
198	12
199	12
200	7
201	17
202	14
203	8
204	9
205	9
206	14
207	8
208	13
209	9
210	11
211	10
