 Radioactive Decay Experiment Tue, Jan 30, 2024 11:59 AM
Sample Number	Number of Counts
1	10
2	9
3	10
4	11
5	10
6	6
7	16
8	8
9	15
10	11
11	8
12	130
13	57
14	15
15	8
16	9
17	10
18	10
19	8
20	356
21	16
22	22
23	15
24	48
25	487
26	0
27	0
28	39
29	260
30	0
31	8
32	0
33	0
34	0
35	10
36	59
37	59
38	59
39	53
40	56
41	45
42	48
43	58
44	54
45	51
46	60
47	60
48	46
49	55
50	40
51	58
52	50
53	50
54	55
55	40
56	47
57	43
58	64
59	54
60	50
61	50
62	51
63	42
64	55
65	57
66	32
67	46
68	42
69	52
70	43
71	54
72	43
73	55
74	63
75	57
76	53
77	43
78	48
79	43
80	48
81	50
82	38
83	38
84	54
85	56
86	58
87	46
88	42
89	46
90	40
91	51
92	40
93	42
94	43
95	41
96	43
97	39
98	37
99	53
100	44
101	40
102	35
103	40
104	46
105	41
106	31
107	43
108	38
109	49
110	43
111	38
112	39
113	40
114	45
115	37
116	44
117	43
118	36
119	36
120	48
121	34
122	46
123	29
124	35
125	38
126	39
127	25
128	21
129	27
130	36
131	35
132	32
133	45
134	27
135	40
136	38
137	42
138	36
139	37
140	30
141	39
142	45
143	41
144	29
145	34
146	27
147	36
148	37
149	32
150	34
151	35
152	35
153	36
154	36
155	26
156	24
157	33
158	23
159	29
160	34
161	33
162	31
163	36
164	26
165	43
166	33
167	29
168	40
169	24
170	37
171	39
172	27
173	35
174	38
175	35
176	29
177	26
178	23
179	38
180	22
181	25
182	23
183	32
184	30
185	34
186	28
187	20
188	27
189	31
190	30
191	22
192	31
193	32
194	30
195	25
196	29
197	18
198	23
199	26
200	23
201	27
202	28
203	21
204	26
205	30
206	36
207	26
208	27
209	23
210	27
211	29
212	24
213	25
214	23
215	22
216	20
217	34
218	22
219	21
220	25
221	36
222	23
223	17
224	23
225	14
226	12
227	28
228	22
229	25
230	20
231	22
232	20
233	30
234	28
235	26
236	21
237	26
238	19
239	26
240	24
241	28
242	21
243	21
244	23
245	25
246	21
247	30
248	20
249	32
250	20
251	21
252	24
253	23
254	19
255	21
256	29
257	21
258	22
259	27
260	15
261	17
262	24
263	27
264	19
265	21
266	20
267	25
268	20
269	11
270	21
271	25
272	22
273	21
274	16
275	22
276	16
277	21
278	14
279	17
280	19
281	23
282	12
283	21
284	23
285	21
286	14
287	12
288	23
289	22
290	25
291	25
292	17
293	18
294	13
295	16
296	15
297	19
298	16
299	14
300	28
301	17
302	18
303	22
304	19
305	16
306	19
307	16
308	18
309	18
310	16
311	14
312	18
313	17
314	31
315	9
316	18
317	13
318	9
319	17
320	17
321	21
322	13
323	18
324	20
325	11
326	20
327	18
328	20
329	17
330	22
331	16
332	11
333	22
334	13
335	17
336	9
337	12
338	22
339	13
340	19
341	29
342	12
343	18
