 Radioactive Decay Experiment Thu, Feb 1, 2024 11:54 AM
Sample Number	Number of Counts
1	136
2	169
3	162
4	173
5	169
6	143
7	149
8	166
9	164
10	151
11	175
12	151
13	171
14	150
15	164
16	146
17	172
18	160
19	158
20	160
21	159
22	144
23	153
24	154
25	163
26	140
27	131
28	139
29	145
30	128
31	164
32	150
33	155
34	141
35	132
36	151
37	124
38	132
39	155
40	133
41	138
42	154
43	130
44	118
45	128
46	142
47	122
48	119
49	123
50	127
51	137
52	115
53	137
54	121
55	119
56	141
57	129
58	126
59	139
60	102
61	153
62	130
63	139
64	123
65	117
66	132
67	117
68	132
69	117
70	108
71	108
72	116
73	131
74	96
75	99
76	92
77	119
78	125
79	105
80	106
81	119
82	106
83	99
84	119
85	125
86	107
87	103
88	104
89	89
90	116
91	101
92	113
93	89
94	86
95	99
96	82
97	108
98	85
99	102
100	77
101	94
102	106
103	102
104	108
105	97
106	85
107	95
108	110
109	93
110	98
111	88
112	104
113	94
114	86
115	86
116	106
117	104
118	100
119	80
120	86
121	102
122	92
123	83
124	78
125	89
126	73
127	76
128	72
129	86
130	78
131	92
132	82
133	102
134	70
135	81
136	90
137	65
138	72
139	77
140	71
141	88
142	84
143	70
144	74
145	73
146	91
147	82
148	86
149	83
150	77
151	58
152	69
153	83
154	90
155	78
156	63
157	72
158	79
159	97
160	85
161	80
162	62
163	56
164	67
165	62
166	65
167	68
168	68
169	61
170	67
171	67
172	61
173	54
174	81
175	64
176	56
177	43
178	68
179	61
180	60
181	56
182	61
183	68
184	55
185	58
186	53
187	53
188	71
189	61
190	68
191	63
192	67
193	58
194	70
195	63
196	56
197	50
198	57
199	66
200	58
201	50
202	44
203	46
204	57
205	37
206	66
207	64
208	57
209	64
210	48
211	55
212	49
213	51
214	52
215	63
216	55
217	44
218	66
219	53
220	38
221	62
222	51
223	44
224	44
225	47
226	36
227	43
228	48
229	42
230	48
231	50
232	40
233	47
234	48
235	39
236	41
237	46
238	45
239	54
240	45
241	48
242	46
243	36
244	52
245	44
246	46
247	42
248	36
249	50
250	45
251	36
252	44
253	51
254	48
255	52
256	44
257	33
258	35
259	46
260	53
261	40
262	44
263	39
264	33
265	47
266	43
267	47
268	44
269	26
270	51
271	34
272	37
273	39
274	40
275	42
276	29
277	31
278	37
279	44
280	47
281	39
282	32
283	37
284	33
285	30
286	31
287	40
288	45
289	38
290	38
291	37
292	38
293	37
294	35
295	30
296	40
297	36
298	35
299	26
300	35
301	30
302	36
303	35
304	35
305	35
306	40
307	33
308	37
309	37
310	37
311	20
312	34
313	37
314	42
315	38
316	28
317	22
318	35
319	34
320	25
321	24
322	25
323	30
324	24
325	25
326	27
327	39
328	30
329	27
330	32
331	27
332	27
333	37
334	34
335	38
336	24
337	35
338	32
339	22
340	24
341	28
342	24
343	37
344	23
345	27
346	28
347	27
348	24
349	29
350	35
351	25
352	24
353	20
354	25
355	21
356	23
357	22
358	26
359	25
360	20
